0.116667	4.895990	30.883333	-22.712349
0.316667	5.267608	31.100000	-22.346143
0.233333	5.098518	30.983333	-22.505743
0.283333	5.170609	31.050000	-22.419156
0.600000	2.201205	31.366667	-25.529515
0.816667	2.769069	31.616667	-24.928233
1.166667	2.290667	31.983333	-25.439864
0.750000	2.283018	31.516667	-25.444891
0.816667	2.759152	31.616667	-24.953012
0.633333	2.215923	31.383333	-25.513522
0.683333	3.564776	31.466667	-24.104869
0.483333	3.557453	31.250000	-24.107216
0.400000	5.258444	31.150000	-22.328679
0.266667	5.072348	31.016667	-22.522940
